Row Count,Item Code,Item Name,Item Qty,Row Format,BOM,Option1,Option2,Option3
3,TT-DHS-ACC-ORA,TT UPGRADED ACCESSORIES KIT,1,,Use,,,
1,LEVANTE25-UG-AK-WB,LEVANTE 25MM TT TABLE UG AK,1,Parent,Make,,,
2,LEVANTE25,LEVANTE 25MM TT TABLE,1,,Use,,,
3,TT-DHS-ACC-WHT,TT UPGRADED ACCESSORIES KIT,1,,Use,,,
1,LIGHT-8BALL-BLK,8BALL LIGHT WITH BLACK SHADE,1,Parent,Make,,,
2,LIGHT-8BALL,LIGHT BAR,1,,Use,,,
3,SHADE-BLK,LIGHT SHADE,3,,Use,,,
1,LIGHT-8BALL-BLU,8BALL LIGHT WITH BLUE SHADE,1,Parent,Make,,,
2,LIGHT-8BALL,LIGHT BAR,1,,Use,,,
3,SHADE-BLU,LIGHT SHADE,3,,Use,,,
1,LIGHT-8BALL-GRE,8BALL LIGHT WITH GREEN SHADE,1,Parent,Make,,,
2,LIGHT-8BALL,LIGHT BAR,1,,Use,,,
3,SHADE-GRE,LIGHT SHADE,3,,Use,,,
1,LIGHT-8BALL-PUR,8BALL LIGHT WITH PURPLE SHADE,1,Parent,Make,,,
2,LIGHT-8BALL,LIGHT BAR,1,,Use,,,
3,SHADE-PUR,LIGHT SHADE,3,,Use,,,
1,LIGHT-8BALL-RED,8BALL LIGHT WITH RED SHADE,1,Parent,Make,,,
2,LIGHT-8BALL,LIGHT BAR,1,,Use,,,
3,SHADE-RED,LIGHT SHADE,3,,Use,,,
1,LIGHT-8BALL-SLV,8BALL LIGHT WITH SILVER SHADE,1,Parent,Make,,,
2,LIGHT-8BALL,LIGHT BAR,1,,Use,,,
3,SHADE-SLV,LIGHT SHADE,3,,Use,,,
1,LIGHT-GH-BLK,GOLD HOLLOW LIGHT WITH BLACK SHADE,1,Parent,Make,,,
2,LIGHT-GDHOL,LIGHT BAR,1,,Use,,,
3,SHADE-BLK,LIGHT SHADE,3,,Use,,,
1,LIGHT-GH-BLU,GOLD HOLLOW LIGHT WITH BLUE SHADE,1,Parent,Make,,,
2,LIGHT-GDHOL,LIGHT BAR,1,,Use,,,
3,SHADE-BLU,LIGHT SHADE,3,,Use,,,
1,LIGHT-GH-GRE,GOLD HOLLOW LIGHT WITH GREEN SHADE,1,Parent,Make,,,
2,LIGHT-GDHOL,LIGHT BAR,1,,Use,,,
3,SHADE-GRE,LIGHT SHADE,3,,Use,,,
1,LIGHT-GH-PUR,GOLD HOLLOW LIGHT WITH PURPLE SHADE,1,Parent,Make,,,
2,LIGHT-GDHOL,LIGHT BAR,1,,Use,,,
3,SHADE-PUR,LIGHT SHADE,3,,Use,,,
1,LIGHT-GH-RED,GOLD HOLLOW LIGHT WITH RED SHADE,1,Parent,Make,,,
2,LIGHT-GDHOL,LIGHT BAR,1,,Use,,,
3,SHADE-RED,LIGHT SHADE,3,,Use,,,
1,LIGHT-GH-SLV,GOLD HOLLOW LIGHT WITH SILVER SHADE,1,Parent,Make,,,
2,LIGHT-GDHOL,LIGHT BAR,1,,Use,,,
3,SHADE-SLV,LIGHT SHADE,3,,Use,,,
1,LIGHT-NOR-BLK,NORMAL LIGHT WITH BLACK SHADE,1,Parent,Make,,,
2,LIGHT-NOR,LIGHT BAR,1,,Use,,,
3,SHADE-BLK,LIGHT SHADE,3,,Use,,,
1,LIGHT-NOR-BLU,NORMAL LIGHT WITH BLUE SHADE,1,Parent,Make,,,
2,LIGHT-NOR,LIGHT BAR,1,,Use,,,
3,SHADE-BLU,LIGHT SHADE,3,,Use,,,
1,LIGHT-NOR-GRE,NORMAL LIGHT WITH GREEN SHADE,1,Parent,Make,,,
2,LIGHT-NOR,LIGHT BAR,1,,Use,,,
3,SHADE-GRE,LIGHT SHADE,3,,Use,,,
1,LIGHT-NOR-PUR,NORMAL LIGHT WITH PURPLE SHADE,1,Parent,Make,,,
2,LIGHT-NOR,LIGHT BAR,1,,Use,,,
3,SHADE-PUR,LIGHT SHADE,3,,Use,,,
1,LIGHT-NOR-RED,NORMAL LIGHT WITH RED SHADE,1,Parent,Make,,,
2,LIGHT-NOR,LIGHT BAR,1,,Use,,,
3,SHADE-RED,LIGHT SHADE,3,,Use,,,
1,LIGHT-NOR-SLV,NORMAL LIGHT WITH SILVER SHADE,1,Parent,Make,,,
2,LIGHT-NOR,LIGHT BAR,1,,Use,,,
3,SHADE-SLV,LIGHT SHADE,3,,Use,,,
1,LIGHT-SH-BLK,SILVER HOLLOW LIGHT WITH BLACK SHADE,1,Parent,Make,,,
2,LIGHT-SLVHOL,LIGHT BAR,1,,Use,,,
3,SHADE-BLK,LIGHT SHADE,3,,Use,,,
1,LIGHT-SH-BLU,SILVER HOLLOW LIGHT WITH BLUE SHADE,1,Parent,Make,,,
2,LIGHT-SLVHOL,LIGHT BAR,1,,Use,,,
3,SHADE-BLU,LIGHT SHADE,3,,Use,,,
1,LIGHT-SH-GRE,SILVER HOLLOW LIGHT WITH GREEN SHADE,1,Parent,Make,,,
2,LIGHT-SLVHOL,LIGHT BAR,1,,Use,,,
3,SHADE-GRE,LIGHT SHADE,3,,Use,,,
1,LIGHT-SH-PUR,SILVER HOLLOW LIGHT WITH PURPLE SHADE,1,Parent,Make,,,
2,LIGHT-SLVHOL,LIGHT BAR,1,,Use,,,
3,SHADE-PUR,LIGHT SHADE,3,,Use,,,
1,LIGHT-SH-RED,SILVER HOLLOW LIGHT WITH RED SHADE,1,Parent,Make,,,
2,LIGHT-SLVHOL,LIGHT BAR,1,,Use,,,
3,SHADE-RED,LIGHT SHADE,3,,Use,,,
1,LIGHT-SH-SLV,SILVER HOLLOW LIGHT WITH SILVER SHADE,1,Parent,Make,,,
2,LIGHT-SLVHOL,LIGHT BAR,1,,Use,,,
3,SHADE-SLV,LIGHT SHADE,3,,Use,,,
1,MANNBA+PUMP,RED/BLUE MAN NBA BASKETBALL WITH PUMP,1,Parent,Make,,,
2,MANNBA,RED/BLUE MAN NBA BASKETBALL,1,,Use,,,
3,PUMP,PUMP,1,,Use,,,
1,MCHALK-BLU+CHALKH-R,MASTER CHALK WITH HOLDER,1,Parent,Make,,,
2,MCHALK-BLU,MASTER CHALK,1,,Use,,,
3,CHALKH-R,CHALK HOLDER,1,,Use,,,
